run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_78	-0.8807808006932479	-5.120600414021563	1.0		0.0		0.0		0.0		0.0		0.0	-4.923787731673541	1.0		0.0	-1.5872283033931505	2.0	-4.24641283740366	1.0	-4.688037020759251	1.0	-7.587086810396505	5.0	-4.8268641601606666	1.0	-0.34674657435028566	2.0	-5.122410004721306	1.0
samp_79	-1.3536745163359862		0.0	-2.3096109005883467	1.0	-4.812477102039245	1.0	-4.60217556393575	2.0	-0.6214515466538701	1.0	-4.665443261149485	3.0	-4.781872008379235	1.0		0.0	-1.617617400125227	2.0	-4.140137931628985	1.0	-4.5560627582561635	1.0	-7.371973828753141	1.0		0.0		0.0	-4.966804546859648	1.0
samp_80	-1.204867841319795	-5.020366829805443	5.0	-2.3026906792732533	1.0		0.0		0.0		0.0		0.0	-4.829005167089987	2.0	-5.159730250055681	2.0		0.0		0.0		0.0	-7.440620733451426	1.0	-4.7291309455174755	1.0	-0.3448657980352485	1.0	-5.017989032002372	2.0
samp_81	-1.5267173001950818	-4.911171896449678	1.0	-2.3145593106272875	3.0		0.0		0.0		0.0	-4.607756787401782	2.0		0.0	-5.047992119144193	2.0	-1.628318511794568	2.0	-4.094024472130954	1.0		0.0	-7.291542916488676	1.0	-4.621986353950462	1.0	-0.34138605697139335	2.0		0.0
samp_82	-1.4125808633588013		0.0	-2.311690764540016	1.0	-4.792995176570615	3.0		0.0		0.0	-4.646095066354993	1.0	-4.762650672996896	1.0	-5.08854960069802	2.0	-1.6213450067897293	1.0	-4.124841346443784	1.0	-4.53792992702312	1.0	-7.3446509017669195	1.0		0.0	-0.342891206064125	2.0	-4.946026293059199	1.0
samp_83	-1.170216575069219	-5.0315798144812245	1.0	-2.3007964353136843	2.0		0.0	-4.657758908248171	2.0	-0.6183584274519983	2.0	-4.7236027579634	2.0		0.0	-5.171241136727096	1.0		0.0	-4.184940857190723	1.0		0.0	-7.456501160820878	1.0	-4.74009554221808	2.0		0.0	-5.029632568091004	1.0
samp_84	-1.4651792287831187	-4.9327084985087195	1.0		0.0		0.0	-4.56675277050643	2.0		0.0	-4.628569000252387	2.0	-4.7452185728759195	2.0		0.0	-1.624617259934696	3.0	-4.1108366814428985	1.0		0.0		0.0		0.0	-0.34221935749033744	3.0	-4.927268481431674	1.0
samp_85	-1.491830624299509	-4.923417727365999	2.0	-2.313872076049847	2.0		0.0		0.0		0.0		0.0	-4.736291496411815	2.0		0.0	-1.626237494351871	3.0		0.0	-4.513004881124202	2.0	-7.307793175428927	1.0	-4.634031145702236	1.0	-0.34187079556465055	1.0	-4.9176815490274794	1.0
samp_86	-1.1915451158226542	-5.024691238781489	2.0		0.0	-4.864554645573186	3.0	-4.651480327641095	1.0		0.0	-4.717006123979343	1.0		0.0	-5.16416834192835	2.0		0.0		0.0	-4.604119649698881	2.0	-7.446729458705093	2.0	-4.733358748860688	1.0		0.0	-5.022479803981609	1.0
samp_87	-1.4048828931752322		0.0	-2.3114608177127516	2.0	-4.795527650763702	2.0	-4.586058712243809	1.0	-0.6223100553281036	2.0		0.0	-4.76517295455875	1.0	-5.0912536692859405	1.0	-1.6208699546275143	2.0	-4.126869172220602	1.0		0.0		0.0	-4.663613410638127	1.0		0.0	-4.9487672527966335	2.0
samp_88	-1.4812552630757916	-4.927109548708608	2.0	-2.313630084441637	4.0		0.0		0.0		0.0		0.0	-4.739837479399551	2.0		0.0	-1.625596730952964	2.0		0.0		0.0		0.0	-4.637662092866662	1.0	-0.3420096804447826	2.0	-4.921489143722307	2.0
