run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_85	-6.701879161229721	1.9006519632583234	-0.11999877259825162	-0.5139581266219777	1.0		0.0		0.0	-9.79785978290812	1.0	-9.149441513459303	1.0	-7.174984809050501	1.0	-6.348108434213984	5.0		0.0	-3.128841847320755	1.0	-7.383233213761026	1.0	-3.638359804427	4.0	-1.1792784833902434	2.0		0.0		0.0		0.0		0.0		0.0
samp_86	-7.047871183749405	1.8642447604207693	-0.1920806030337418	-0.47561965737474826	1.0		0.0	-8.806700138792781	2.0		0.0		0.0	-7.103501879414415	1.0	-6.284041158602353	1.0	-7.915917175471623	2.0		0.0		0.0	-3.5853513640358807	2.0	-1.1396526162931189	3.0	-6.385866257672399	2.0		0.0	-4.625332917767463	1.0		0.0	-5.493358595961365	2.0
samp_87	-6.607563864566941	1.9664851450396645	-0.1424625338050546	-0.5129513804714526	1.0		0.0	-8.998971022431734	2.0	-9.885316335200846	2.0		0.0		0.0		0.0		0.0	-3.1454180202788167	2.0	-7.416634675859674	1.0		0.0	-1.1747407555225844	2.0		0.0	-5.182956348764816	1.0	-4.701307972834666	1.0	-3.70837091468639	3.0	-5.574402375748737	2.0
samp_88	-7.19346846512035	1.9356376983449997	-0.19567602155647904	-0.48528887417041777	1.0	-9.699374786038817	3.0	-8.824118660458293	1.0	-9.554931807591007	1.0		0.0	-7.134091882573203	1.0	-6.315756425893266	1.0		0.0		0.0		0.0	-3.6146501365641672	1.0	-1.146138499170206	2.0		0.0	-5.136542114170137	2.0		0.0	-3.666808232325791	1.0	-5.525608317000086	3.0
samp_89	-6.750144578023157	1.7159333992365537	-0.05493642817052092	-0.5177544892270163	1.0		0.0	-8.857792398212561	1.0		0.0		0.0	-7.109394645895262	2.0	-6.285722131369263	2.0	-7.946083344218928	1.0		0.0	-7.312824627607331	2.0	-3.589085248074811	1.0	-1.1905282311188732	1.0		0.0	-5.103369572505075	1.0	-4.624289332384249	1.0		0.0	-5.492463637805336	4.0
samp_90	-6.731161762499175	1.635794195158831	0.17921931993906637	-0.6303865907430103	1.0	-9.93591690718572	1.0	-8.962159103705254	1.0	-9.811029517110374	3.0	-9.164874378136904	1.0		0.0	-6.366750748644879	1.0		0.0	-3.1642753901754936	1.0	-7.400737441847098	1.0	-3.67193279262455	2.0		0.0		0.0		0.0	-4.704046524204393	2.0	-3.7263543230048195	2.0	-5.57222376825155	1.0
samp_91	-8.115508292401147	1.4977219998175637	0.014876803922985755	-0.5167714137857722	2.0	-9.358921962103258	2.0		0.0		0.0	-8.779599576587868	1.0		0.0	-6.192954552884857	1.0		0.0		0.0	-7.179025084448168	3.0	-3.523706931739218	1.0	-1.1929549130061583	2.0	-6.293005760470357	1.0	-5.02601422282654	1.0	-4.550540457749402	1.0	-3.5778448030458256	1.0	-5.411443345474285	1.0
samp_92	-6.707365126885529	1.6856274002258416	-0.1144759304962024		0.0		0.0		0.0	-9.628969563991175	2.0	-9.011500008223146	1.0		0.0	-6.240449386262099	3.0	-7.898672762442427	1.0		0.0	-7.266527598612325	2.0	-3.545313748408031	2.0	-1.1544816029345506	1.0	-6.342941065107163	1.0		0.0		0.0	-3.598693652182566	2.0	-5.447520393937123	2.0
samp_93	-7.084670900514964	1.5879672106142035	0.19771127167929675	-0.6348199321926998	1.0	-9.769197224383605	3.0	-8.870458354106892	1.0	-9.62907125226565	1.0		0.0	-7.162208921674824	2.0	-6.343310212094621	1.0		0.0	-3.1521324739407475	1.0	-7.358454152788991	1.0	-3.6589678934197827	2.0		0.0	-6.4451216976652725	1.0	-5.166351163119597	1.0		0.0	-3.7134559093888764	1.0	-5.553943018346152	1.0
samp_94	-6.829616290830569	1.748517117103414	0.1856662910541247	-0.6451250234024617	1.0	-9.983708477973545	2.0	-9.018530076715	1.0	-9.860975405742238	2.0	-9.220458030595685	2.0	-7.251347961839275	2.0		0.0		0.0	-3.2166583010375347	2.0	-7.4590886561302705	1.0	-3.7259984728156392	2.0		0.0	-6.528472442196311	1.0	-5.241192037061337	1.0		0.0		0.0		0.0
samp_95	-6.882067354999432	1.5814120602429163	0.048492855209806694		0.0	-9.733353627167338	1.0		0.0		0.0		0.0		0.0	-6.267255987353789	2.0	-7.910674344621956	1.0	-3.0740915441567283	1.0	-7.286494027805395	2.0	-3.5802978108163086	2.0	-1.2268524944990309	1.0	-6.369319886179283	1.0	-5.0887132222689875	1.0	-4.610789191822371	1.0	-3.634437600998192	2.0	-5.476680372771227	2.0
samp_96	-6.965121117489847	-13.734530925292846	15.310990343657636		0.0	-9.663752735758582	2.0		0.0	-9.51919680517462	2.0		0.0		0.0	-6.242970224214968	2.0	-7.8716595312970705	1.0	-3.1151736168705315	1.0	-7.254519249138993	2.0		0.0		0.0	-6.3443874581482	1.0		0.0	-4.603068221313525	2.0	-3.6667244487167587	1.0	-5.458923712900952	3.0
samp_97	-7.533319927612922	1.5496503414324525	0.04032391654102461	-0.5408541413566915	2.0	-9.505947055530987	1.0	-8.69247601281855	3.0	-9.354117336811006	2.0	-8.875803170523191	3.0		0.0	-6.236677256051505	1.0	-7.831068516738875	2.0		0.0		0.0	-3.560863927881227	1.0	-1.2168209627830167	1.0		0.0		0.0		0.0	-3.6149684000606594	1.0		0.0
samp_98	-7.030903093642192	1.3084216967788893	0.3839804349937751	-0.707831877618324	1.0		0.0		0.0	-9.579311824670437	1.0	-9.016198019064417	3.0	-7.11556165875004	1.0	-6.297544361287361	1.0	-7.930108608559886	1.0	-3.120114903318771	2.0	-7.311597280053502	3.0	-3.62435706544438	1.0		0.0		0.0	-5.122923782673854	1.0	-4.646469595824716	1.0		0.0	-5.509485479675959	1.0
samp_99	-7.004450614571251	1.7707284616873715	-0.08561171214818483		0.0	-9.72557370063194	3.0		0.0	-9.58407103816311	2.0		0.0	-7.111956355025981	1.0		0.0		0.0	-3.0901373256230285	1.0	-7.3082360095415915	2.0	-3.5977286729714786	1.0	-1.1816276738102252	1.0	-6.394037910192149	2.0		0.0	-4.634254882510462	1.0	-3.65088104946661	1.0	-5.501507021282915	2.0
